100044_at	190.5	23.4	218.5	25	119.3	53.2	40.2	156.6	30.6	32	133.7	271.6	304.3	44.1	147.3	98.6	444.5	110.4	
100046_at	6811.6	9221.1	6577.4	7954.9	5477.1	3033	7530.6	6611.8	5865.1	12387.2	13269.6	8456.6	10976.1	8664.9	6343.8	8934.9	6071.5	9818.6	
100047_at	123	24.1	55.5	80.5	80.9	72.6	61.5	38.2	36.8	34.4	19.6	44.3	40.8	72.3	45.8	31.3	24.2	55.2	
100048_at	593.2	604.8	562.2	582.6	891.6	566.3	355.6	747.9	524	511.8	509	426.2	206.8	567.6	651.6	341.5	456.3	430.5	
100049_at	11.4	186.5	17.8	67.8	36.7	39.5	158.2	18.4	53.4	18.3	73.4	155.3	25.8	32.8	202.9	39.4	14.2	33	
100050_at	14727.9	13790.3	8408.3	9829.3	7868.9	6440.7	6873.1	9869.9	15250.3	8104.2	11747.7	9620.1	9977.7	9246.5	9584.8	14983.3	15550.9	8975.4	
100051_at	8377.4	9371	6505.8	8415.2	9279.2	9294.3	8537.4	11218.9	10928.7	7571.2	12506.7	13727.1	13309.1	12330.1	15390.7	8917.6	10997.6	14018.9	
100052_at	63.3	48.2	38.6	43.3	57.8	70.2	81.6	117.7	80.8	82.7	41.5	56.8	204.7	78.3	421.1	67.8	73.9	69.8	
100054_s_at	1884.4	2281.2	2034.3	2383.4	1268.7	876.9	1436.5	1269.4	1652.2	1896.3	1903.9	2613.7	2151.3	1759	3545.4	1255.3	1172	1364.9	
100056_at	2794	5150.9	4401.4	4701.7	4753.5	5462.4	4912.5	4711.5	5034.8	3441.4	5717.5	4831.2	5539.1	5754.4	3021.3	5530.8	5663.2	5464.2	
100057_at	4300	4093.8	4260.2	4331.8	2331.1	2952.2	4158.9	2614.6	4392	2655.3	3245.7	3059.8	2839.1	2214.4	2662.9	2211	2126.4	2645.7	
100058_at	313.1	1099.4	217	1098.3	791.1	1130.6	1316.6	1711.7	1234.1	239.1	909.7	204.8	805.1	1494.7	1287.9	1556.9	1438.7	1337.9	
100059_at	494.6	506.9	330.4	1064.9	345.5	1067.6	365.6	291.7	582.2	215.9	208.7	830	456.7	405.5	181.2	344.3	562.3	279.4	
100060_i_at	10.6	100.3	26.9	8.2	20	9.5	12.1	10.9	10.3	113.2	6.9	26.2	8.6	12.4	20.1	9.3	11.7	11.8	
100061_f_at	104.1	504.8	121.1	93.2	501.5	121.3	546.5	268.9	373.2	343.5	498.4	124.3	350.1	375.4	717.5	354.1	497.2	309	
100062_at	4735.8	6078.3	5906.3	6280	2690.2	1393.8	2137.5	3382.2	5027.1	955.2	2145.7	1877.7	2508	2305.5	2091.2	2374.9	1296.3	1633.7	
100064_f_at	4684.3	5596.2	7587.4	6431	2100.3	2684.1	5232.8	2480.9	5168.5	1146.8	2080.5	2663.9	3579	2346.9	942.8	4222.5	6402.5	6493.8	
100065_r_at	393.5	383.6	650.5	864.7	133.5	338.3	612.8	376.3	601.8	68.7	415.1	295	349.6	252.7	280.5	345	559.4	825.8	
100066_at	3260.6	3664.9	3369.4	4274.3	2365.3	2045.3	2907	2612.5	2886.3	3098.8	2811.3	3716.9	3296.1	3094.7	3595.1	3152.6	3216.8	2888.6	
100067_at	44.7	84.1	108.2	147.2	74.9	64.9	84	101	129	240.6	206.1	95.1	72	90.6	146.3	96.6	93.5	305.6	
100068_at	56.4	272.6	172.2	133.8	371.9	860.9	766	189.9	133	2291.2	759.7	905.9	229.2	438.9	728.9	1681.7	1727.7	2527.6	
100069_at	759.6	388	568	495.9	608.7	1158.6	237.8	964.6	816.7	2813.8	2708.7	1650.7	2226.1	2098.9	2124.5	1712.6	2146.4	1218.1	
100071_at	753.1	551.8	308.8	129.3	608.7	260.2	634.9	574.6	263.5	665.2	463.2	290.7	760.9	101.7	155	135.5	1016.2	178.4	
100072_at	2646.1	3159.3	3323.3	2815.9	2108.3	1918.6	2396.9	3056	3889.8	4430.9	3925.7	4555.9	3420.5	3748.6	4224.4	3436.9	2324	2425.9	
100073_at	1380.3	1976.1	1813.9	2553.1	1965	1548.5	2168.5	2738.3	2320.2	2935.6	2906.6	2351.5	2333.7	2920.8	2956.6	2514.8	2236.7	2364.4	
100074_at	3363.3	7423.6	4169.8	4905	9321.1	7772	7978.3	3463.3	2035.3	1951	5848.5	4766.7	3419.1	7491.7	1966	9781.6	5891.1	4287.4	
100078_at	106.2	583.5	170.8	181.5	241.8	122.2	424.4	206.1	336.9	175.3	172.8	150.2	142.5	136.9	224.8	189.1	256.6	244	
100079_at	12874.1	12110.2	12450.1	14221.8	13768.2	15364.1	12180.4	6718.9	10454.9	13456.2	14527.3	13886.8	17088.4	13241.1	14140.5	16248.3	14905.1	12968.8	
100080_at	206.5	320.2	300.7	168.4	109.1	216.2	99	477.5	97.2	560.2	85.2	164.3	133.2	304.4	355.8	225.6	633.5	112.4	
100081_at	5139	5122.4	5004.9	5797.4	3973.5	3360.7	4613.4	4866.3	4957.2	2832.6	2832.5	4892.5	3982.5	2943.9	5008.4	3954.6	3307	3101.2	
100082_at	967	1240.4	1628.1	1616.5	1666.6	1668.2	1263.1	1526.8	1213.3	2584.1	1410.4	1929.4	2051.8	1465.1	1356.8	1909.2	1913.6	685.8	
100084_at	88.1	396.1	710.9	289.8	487.4	72.7	315.1	213.7	170.8	233.3	268.4	316.5	402.7	1032.7	935.5	430.7	765.9	653.7	
100085_at	258.7	83	372.3	122.2	109.8	89.6	203.5	118.1	433.4	78	257.9	394.6	262.5	69.8	120.3	194.2	94.8	175.2	
100086_at	4857.5	4368.6	4699.2	5211.5	7180.6	5391	4316.3	4637.7	4439.2	4510.5	5623.4	6654.9	6687.3	5844.7	4772.2	6511.8	6981.5	4120.1	
100088_at	9465.7	8241.6	8377.6	7481	8642.1	10423.4	11843.2	7137.2	6551.3	7790.2	7026.6	4612	5474.9	6267.3	5048.3	6095.6	6011.2	8031.2	
100089_at	16424.9	16039	20005.1	16246.4	15603.1	14191.3	12060.8	14426.2	14824.6	15351.1	12997	15077.7	12592.7	11858.2	12623	11495.5	8628.4	10028.8	
100091_at	8373	7740	8960.3	9374.7	10527.4	7855.6	10480.6	9471	8790.4	6535.2	7186.1	9544.2	7622.3	7584.9	5768.5	10670.4	11082	6813	
100093_at	7285.9	7658.3	6258.3	7289.6	7008.6	6248.4	6996.9	7684.4	9670.5	5036.3	5024.5	6196.7	6557	5902	5926.8	4728.8	4747.5	5056.7	
100094_at	5865.4	4978.2	3811.2	4764	4960.2	5284	5002.3	5541.8	6133.8	8093.9	8173.4	8660.4	8746.7	8546.5	11537.6	6790.4	6493.5	7080.2	
100095_at	1344.9	1944.4	1689.7	2082.6	3046.8	3508.9	3297.4	2412.5	2199.5	1107.1	1669	1207.6	784.6	1057.8	1186.6	1745.9	2017.3	2636.8	
100099_at	10187.6	11338.8	9625.8	10695.6	11339	13210	10497	10953.2	11888.2	13573	12362.8	14318.8	12150.7	12100.7	11015.1	9574.8	9085.8	9307.4	
100100_at	204.8	162.7	99.8	70.6	51.2	511	418.2	249.3	339.6	49.5	129.4	333.5	57.7	57.1	53.3	248	74.7	28.6	
100101_at	6176.1	4484.7	4050.7	4694.9	5218.1	4716.5	6229.4	5221.2	5865.6	6103.1	6278.6	5262.8	4981.8	5229.8	5933.8	6608.6	6268.3	5579.8	
100103_f_at	2762.1	2557.1	2239.5	1997.8	1928.6	1818.6	2489.2	2348.4	2552.3	2690.1	2643.9	2841.3	2534.9	2247.1	4007.3	2834.3	2966.1	2452.4	
100104_r_at	101.1	199.3	67.8	354.9	234.8	271.1	84.2	220.8	220.2	150	158.1	207.4	270.6	258.8	299.2	246	200.3	119.8	
100106_at	327.1	292.2	354.1	421.9	407.6	255.8	230.7	254	266.6	340	328.6	350.8	354.6	251.2	258.9	259.9	322.8	240.2	
100109_s_at	319.8	38.9	74.3	69	417.1	78.7	65.2	73.5	120.5	250.6	30.2	155.2	218	309.2	83.8	95.9	90	48.3	
